vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.5	4.0_64.0	0.5	1.0	22	12	810	56	11	45	0.282	0.985	0.924	0.267	0.647	0.282	0.393	0.353
0.5	8.0_64.0	0.5	1.0	16	8	439	36	6	30	0.308	0.982	0.912	0.29	0.667	0.308	0.421	0.333
0.7_0.75	4.0_64.0	0.5	1.0	23	6	278	43	9	34	0.348	0.979	0.86	0.327	0.793	0.348	0.484	0.207
0.7_0.75	8.0_64.0	0.5	1.0	15	4	150	29	6	23	0.341	0.974	0.833	0.315	0.789	0.341	0.476	0.211
1.0	4.0_64.0	0.5	1.0	22	6	160	44	9	35	0.333	0.964	0.784	0.297	0.786	0.333	0.468	0.214
1.0	8.0_64.0	0.5	1.0	16	4	89	28	6	22	0.364	0.957	0.766	0.321	0.8	0.364	0.5	0.2
0.1_0.125	4.0_64.0	0.6	0.0	33	818	14318	33	25	8	0.5	0.946	0.944	0.446	0.039	0.5	0.072	0.961
0.1_0.125	8.0_64.0	0.6	0.0	26	545	9216	18	13	5	0.591	0.944	0.943	0.535	0.046	0.591	0.085	0.954
0.25	4.0_64.0	0.6	0.0	35	103	4456	31	19	12	0.53	0.977	0.971	0.507	0.254	0.53	0.343	0.746
0.25	8.0_64.0	0.6	0.0	26	50	2562	18	9	9	0.591	0.981	0.974	0.572	0.342	0.591	0.433	0.658
0.375	4.0_64.0	0.6	0.0	36	4	434	18	11	7	0.667	0.991	0.955	0.658	0.9	0.667	0.766	0.1
0.375	8.0_64.0	0.6	0.0	26	2	245	10	7	3	0.722	0.992	0.958	0.714	0.929	0.722	0.813	0.071
0.5	4.0_64.0	0.6	0.0	57	32	790	21	11	10	0.731	0.961	0.941	0.692	0.64	0.731	0.682	0.36
0.5	8.0_64.0	0.6	0.0	40	20	427	12	6	6	0.769	0.955	0.936	0.724	0.667	0.769	0.714	0.333
0.7_0.75	4.0_64.0	0.6	0.0	49	19	265	17	9	8	0.742	0.933	0.897	0.675	0.721	0.742	0.731	0.279
0.7_0.75	8.0_64.0	0.6	0.0	33	12	142	11	6	5	0.75	0.922	0.884	0.672	0.733	0.75	0.741	0.267
1.0	4.0_64.0	0.6	0.0	49	20	146	17	9	8	0.742	0.88	0.841	0.622	0.71	0.742	0.726	0.29
1.0	8.0_64.0	0.6	0.0	33	13	80	11	6	5	0.75	0.86	0.825	0.61	0.717	0.75	0.733	0.283
0.1_0.125	4.0_64.0	0.6	0.1	32	778	14358	34	25	9	0.485	0.949	0.947	0.434	0.04	0.485	0.074	0.96
0.1_0.125	8.0_64.0	0.6	0.1	26	519	9242	18	13	5	0.591	0.947	0.945	0.538	0.048	0.591	0.089	0.952
0.25	4.0_64.0	0.6	0.1	35	97	4462	31	19	12	0.53	0.979	0.972	0.509	0.265	0.53	0.353	0.735
0.25	8.0_64.0	0.6	0.1	26	48	2564	18	9	9	0.591	0.982	0.975	0.573	0.351	0.591	0.44	0.649
0.375	4.0_64.0	0.6	0.1	34	3	435	20	11	9	0.63	0.993	0.953	0.623	0.919	0.63	0.748	0.081
0.375	8.0_64.0	0.6	0.1	25	1	246	11	7	4	0.694	0.996	0.958	0.69	0.962	0.694	0.806	0.038
0.5	4.0_64.0	0.6	0.1	56	31	791	22	11	11	0.718	0.962	0.941	0.68	0.644	0.718	0.679	0.356
0.5	8.0_64.0	0.6	0.1	40	20	427	12	6	6	0.769	0.955	0.936	0.724	0.667	0.769	0.714	0.333
0.7_0.75	4.0_64.0	0.6	0.1	48	16	268	18	9	9	0.727	0.944	0.903	0.671	0.75	0.727	0.738	0.25
0.7_0.75	8.0_64.0	0.6	0.1	33	10	144	11	6	5	0.75	0.935	0.894	0.685	0.767	0.75	0.758	0.233
1.0	4.0_64.0	0.6	0.1	48	20	146	18	9	9	0.727	0.88	0.836	0.607	0.706	0.727	0.716	0.294
1.0	8.0_64.0	0.6	0.1	33	13	80	11	6	5	0.75	0.86	0.825	0.61	0.717	0.75	0.733	0.283
0.1_0.125	4.0_64.0	0.6	0.2	31	736	14400	35	25	10	0.47	0.951	0.949	0.421	0.04	0.47	0.074	0.96
0.1_0.125	8.0_64.0	0.6	0.2	25	491	9270	19	13	6	0.568	0.95	0.948	0.518	0.048	0.568	0.089	0.952
0.25	4.0_64.0	0.6	0.2	33	88	4471	33	19	14	0.5	0.981	0.974	0.481	0.273	0.5	0.353	0.727
0.25	8.0_64.0	0.6	0.2	25	41	2571	19	9	10	0.568	0.984	0.977	0.552	0.379	0.568	0.455	0.621
0.375	4.0_64.0	0.6	0.2	33	3	435	21	11	10	0.611	0.993	0.951	0.604	0.917	0.611	0.733	0.083
0.375	8.0_64.0	0.6	0.2	25	1	246	11	7	4	0.694	0.996	0.958	0.69	0.962	0.694	0.806	0.038
0.5	4.0_64.0	0.6	0.2	55	28	794	23	11	12	0.705	0.966	0.943	0.671	0.663	0.705	0.683	0.337
0.5	8.0_64.0	0.6	0.2	39	18	429	13	6	7	0.75	0.96	0.938	0.71	0.684	0.75	0.715	0.316
0.7_0.75	4.0_64.0	0.6	0.2	47	16	268	19	9	10	0.712	0.944	0.9	0.656	0.746	0.712	0.729	0.254
0.7_0.75	8.0_64.0	0.6	0.2	32	10	144	12	6	6	0.727	0.935	0.889	0.662	0.762	0.727	0.744	0.238
1.0	4.0_64.0	0.6	0.2	47	18	148	19	9	10	0.712	0.892	0.841	0.604	0.723	0.712	0.717	0.277
1.0	8.0_64.0	0.6	0.2	32	11	82	12	6	6	0.727	0.882	0.832	0.609	0.744	0.727	0.735	0.256
0.1_0.125	4.0_64.0	0.6	0.3	29	705	14431	37	25	12	0.439	0.953	0.951	0.392	0.04	0.439	0.073	0.96
0.1_0.125	8.0_64.0	0.6	0.3	24	469	9292	20	13	7	0.545	0.952	0.95	0.497	0.049	0.545	0.09	0.951
0.25	4.0_64.0	0.6	0.3	31	81	4478	35	19	16	0.47	0.982	0.975	0.452	0.277	0.47	0.349	0.723
0.25	8.0_64.0	0.6	0.3	24	35	2577	20	9	11	0.545	0.987	0.979	0.532	0.407	0.545	0.466	0.593
0.375	4.0_64.0	0.6	0.3	32	3	435	22	11	11	0.593	0.993	0.949	0.586	0.914	0.593	0.719	0.086
0.375	8.0_64.0	0.6	0.3	25	1	246	11	7	4	0.694	0.996	0.958	0.69	0.962	0.694	0.806	0.038
0.5	4.0_64.0	0.6	0.3	54	26	796	24	11	13	0.692	0.968	0.944	0.66	0.675	0.692	0.683	0.325
0.5	8.0_64.0	0.6	0.3	38	17	430	14	6	8	0.731	0.962	0.938	0.693	0.691	0.731	0.71	0.309
0.7_0.75	4.0_64.0	0.6	0.3	45	14	270	21	9	12	0.682	0.951	0.9	0.633	0.763	0.682	0.72	0.237
0.7_0.75	8.0_64.0	0.6	0.3	32	9	145	12	6	6	0.727	0.942	0.894	0.669	0.78	0.727	0.753	0.22
1.0	4.0_64.0	0.6	0.3	47	18	148	19	9	10	0.712	0.892	0.841	0.604	0.723	0.712	0.717	0.277
1.0	8.0_64.0	0.6	0.3	32	11	82	12	6	6	0.727	0.882	0.832	0.609	0.744	0.727	0.735	0.256
0.1_0.125	4.0_64.0	0.6	0.4	29	655	14481	37	25	12	0.439	0.957	0.954	0.396	0.042	0.439	0.077	0.958
0.1_0.125	8.0_64.0	0.6	0.4	24	438	9323	20	13	7	0.545	0.955	0.953	0.5	0.052	0.545	0.095	0.948
0.25	4.0_64.0	0.6	0.4	29	78	4481	37	19	18	0.439	0.983	0.975	0.422	0.271	0.439	0.335	0.729
0.25	8.0_64.0	0.6	0.4	22	34	2578	22	9	13	0.5	0.987	0.979	0.487	0.393	0.5	0.44	0.607
0.375	4.0_64.0	0.6	0.4	29	3	435	25	11	14	0.537	0.993	0.943	0.53	0.906	0.537	0.674	0.094
0.375	8.0_64.0	0.6	0.4	22	1	246	14	7	7	0.611	0.996	0.947	0.607	0.957	0.611	0.746	0.043
0.5	4.0_64.0	0.6	0.4	53	26	796	25	11	14	0.679	0.968	0.943	0.647	0.671	0.679	0.675	0.329
0.5	8.0_64.0	0.6	0.4	37	17	430	15	6	9	0.712	0.962	0.936	0.674	0.685	0.712	0.698	0.315
0.7_0.75	4.0_64.0	0.6	0.4	45	13	271	21	9	12	0.682	0.954	0.903	0.636	0.776	0.682	0.726	0.224
0.7_0.75	8.0_64.0	0.6	0.4	32	9	145	12	6	6	0.727	0.942	0.894	0.669	0.78	0.727	0.753	0.22
1.0	4.0_64.0	0.6	0.4	47	16	150	19	9	10	0.712	0.904	0.849	0.616	0.746	0.712	0.729	0.254
1.0	8.0_64.0	0.6	0.4	32	9	84	12	6	6	0.727	0.903	0.847	0.63	0.78	0.727	0.753	0.22
0.1_0.125	4.0_64.0	0.6	0.5	28	616	14520	38	25	13	0.424	0.959	0.957	0.383	0.043	0.424	0.078	0.957
0.1_0.125	8.0_64.0	0.6	0.5	23	411	9350	21	13	8	0.523	0.958	0.956	0.481	0.053	0.523	0.096	0.947
0.25	4.0_64.0	0.6	0.5	29	72	4487	37	19	18	0.439	0.984	0.976	0.423	0.287	0.439	0.347	0.713
0.25	8.0_64.0	0.6	0.5	22	33	2579	22	9	13	0.5	0.987	0.979	0.487	0.4	0.5	0.444	0.6
0.375	4.0_64.0	0.6	0.5	28	3	435	26	11	15	0.519	0.993	0.941	0.512	0.903	0.519	0.659	0.097
0.375	8.0_64.0	0.6	0.5	21	1	246	15	7	8	0.583	0.996	0.943	0.579	0.955	0.583	0.724	0.045
0.5	4.0_64.0	0.6	0.5	53	25	797	25	11	14	0.679	0.97	0.944	0.649	0.679	0.679	0.679	0.321
0.5	8.0_64.0	0.6	0.5	37	16	431	15	6	9	0.712	0.964	0.938	0.676	0.698	0.712	0.705	0.302
0.7_0.75	4.0_64.0	0.6	0.5	44	13	271	22	9	13	0.667	0.954	0.9	0.621	0.772	0.667	0.716	0.228
0.7_0.75	8.0_64.0	0.6	0.5	31	9	145	13	6	7	0.705	0.942	0.889	0.647	0.775	0.705	0.738	0.225
1.0	4.0_64.0	0.6	0.5	46	14	152	20	9	11	0.697	0.916	0.853	0.613	0.767	0.697	0.73	0.233
1.0	8.0_64.0	0.6	0.5	32	8	85	12	6	6	0.727	0.914	0.854	0.641	0.8	0.727	0.762	0.2
0.1_0.125	4.0_64.0	0.6	0.6	26	588	14548	40	25	15	0.394	0.961	0.959	0.355	0.042	0.394	0.076	0.958
0.1_0.125	8.0_64.0	0.6	0.6	21	392	9369	23	13	10	0.477	0.96	0.958	0.437	0.051	0.477	0.092	0.949
0.25	4.0_64.0	0.6	0.6	27	69	4490	39	19	20	0.409	0.985	0.977	0.394	0.281	0.409	0.333	0.719
0.25	8.0_64.0	0.6	0.6	20	32	2580	24	9	15	0.455	0.988	0.979	0.443	0.385	0.455	0.417	0.615
0.375	4.0_64.0	0.6	0.6	26	3	435	28	11	17	0.481	0.993	0.937	0.474	0.897	0.481	0.626	0.103
0.375	8.0_64.0	0.6	0.6	20	1	246	16	7	9	0.556	0.996	0.94	0.552	0.952	0.556	0.702	0.048
0.5	4.0_64.0	0.6	0.6	50	25	797	28	11	17	0.641	0.97	0.941	0.611	0.667	0.641	0.654	0.333
0.5	8.0_64.0	0.6	0.6	35	16	431	17	6	11	0.673	0.964	0.934	0.637	0.686	0.673	0.679	0.314
0.7_0.75	4.0_64.0	0.6	0.6	42	12	272	24	9	15	0.636	0.958	0.897	0.594	0.778	0.636	0.7	0.222
0.7_0.75	8.0_64.0	0.6	0.6	29	8	146	15	6	9	0.659	0.948	0.884	0.607	0.784	0.659	0.716	0.216
1.0	4.0_64.0	0.6	0.6	44	13	153	22	9	13	0.667	0.922	0.849	0.589	0.772	0.667	0.716	0.228
1.0	8.0_64.0	0.6	0.6	32	8	85	12	6	6	0.727	0.914	0.854	0.641	0.8	0.727	0.762	0.2
0.1_0.125	4.0_64.0	0.6	0.7	25	545	14591	41	25	16	0.379	0.964	0.961	0.343	0.044	0.379	0.079	0.956
0.1_0.125	8.0_64.0	0.6	0.7	20	366	9395	24	13	11	0.455	0.963	0.96	0.418	0.052	0.455	0.093	0.948
0.25	4.0_64.0	0.6	0.7	27	67	4492	39	19	20	0.409	0.985	0.977	0.394	0.287	0.409	0.337	0.713
0.25	8.0_64.0	0.6	0.7	20	31	2581	24	9	15	0.455	0.988	0.979	0.443	0.392	0.455	0.421	0.608
0.375	4.0_64.0	0.6	0.7	25	3	435	29	11	18	0.463	0.993	0.935	0.456	0.893	0.463	0.61	0.107
0.375	8.0_64.0	0.6	0.7	19	1	246	17	7	10	0.528	0.996	0.936	0.524	0.95	0.528	0.679	0.05
0.5	4.0_64.0	0.6	0.7	48	25	797	30	11	19	0.615	0.97	0.939	0.585	0.658	0.615	0.636	0.342
0.5	8.0_64.0	0.6	0.7	33	16	431	19	6	13	0.635	0.964	0.93	0.599	0.673	0.635	0.653	0.327
0.7_0.75	4.0_64.0	0.6	0.7	40	12	272	26	9	17	0.606	0.958	0.891	0.564	0.769	0.606	0.678	0.231
0.7_0.75	8.0_64.0	0.6	0.7	27	8	146	17	6	11	0.614	0.948	0.874	0.562	0.771	0.614	0.684	0.229
1.0	4.0_64.0	0.6	0.7	41	13	153	25	9	16	0.621	0.922	0.836	0.543	0.759	0.621	0.683	0.241
1.0	8.0_64.0	0.6	0.7	29	8	85	15	6	9	0.659	0.914	0.832	0.573	0.784	0.659	0.716	0.216
0.1_0.125	4.0_64.0	0.6	0.8	24	522	14614	42	25	17	0.364	0.966	0.963	0.33	0.044	0.364	0.079	0.956
0.1_0.125	8.0_64.0	0.6	0.8	19	353	9408	25	13	12	0.432	0.964	0.961	0.396	0.051	0.432	0.091	0.949
0.25	4.0_64.0	0.6	0.8	26	63	4496	40	19	21	0.394	0.986	0.978	0.38	0.292	0.394	0.335	0.708
0.25	8.0_64.0	0.6	0.8	19	28	2584	25	9	16	0.432	0.989	0.98	0.421	0.404	0.432	0.418	0.596
0.375	4.0_64.0	0.6	0.8	23	3	435	31	11	20	0.426	0.993	0.931	0.419	0.885	0.426	0.575	0.115
0.375	8.0_64.0	0.6	0.8	17	1	246	19	7	12	0.472	0.996	0.929	0.468	0.944	0.472	0.629	0.056
0.5	4.0_64.0	0.6	0.8	41	25	797	37	11	26	0.526	0.97	0.931	0.496	0.621	0.526	0.57	0.379
0.5	8.0_64.0	0.6	0.8	29	16	431	23	6	17	0.558	0.964	0.922	0.522	0.644	0.558	0.598	0.356
0.7_0.75	4.0_64.0	0.6	0.8	35	12	272	31	9	22	0.53	0.958	0.877	0.488	0.745	0.53	0.619	0.255
0.7_0.75	8.0_64.0	0.6	0.8	22	8	146	22	6	16	0.5	0.948	0.848	0.448	0.733	0.5	0.594	0.267
1.0	4.0_64.0	0.6	0.8	40	12	154	26	9	17	0.606	0.928	0.836	0.534	0.769	0.606	0.678	0.231
1.0	8.0_64.0	0.6	0.8	28	8	85	16	6	10	0.636	0.914	0.825	0.55	0.778	0.636	0.7	0.222
0.1_0.125	4.0_64.0	0.6	0.9	23	495	14641	43	25	18	0.348	0.967	0.965	0.315	0.044	0.348	0.078	0.956
0.1_0.125	8.0_64.0	0.6	0.9	18	333	9428	26	13	13	0.409	0.966	0.963	0.375	0.051	0.409	0.091	0.949
0.25	4.0_64.0	0.6	0.9	26	59	4500	40	19	21	0.394	0.987	0.979	0.381	0.306	0.394	0.344	0.694
0.25	8.0_64.0	0.6	0.9	19	25	2587	25	9	16	0.432	0.99	0.981	0.422	0.432	0.432	0.432	0.568
0.375	4.0_64.0	0.6	0.9	22	3	435	32	11	21	0.407	0.993	0.929	0.4	0.88	0.407	0.557	0.12
0.375	8.0_64.0	0.6	0.9	16	1	246	20	7	13	0.444	0.996	0.926	0.44	0.941	0.444	0.603	0.059
0.5	4.0_64.0	0.6	0.9	38	24	798	40	11	29	0.487	0.971	0.929	0.458	0.613	0.487	0.543	0.387
0.5	8.0_64.0	0.6	0.9	26	15	432	26	6	20	0.5	0.966	0.918	0.466	0.634	0.5	0.559	0.366
0.7_0.75	4.0_64.0	0.6	0.9	30	12	272	36	9	27	0.455	0.958	0.863	0.413	0.714	0.455	0.556	0.286
0.7_0.75	8.0_64.0	0.6	0.9	20	8	146	24	6	18	0.455	0.948	0.838	0.403	0.714	0.455	0.556	0.286
1.0	4.0_64.0	0.6	0.9	37	12	154	29	9	20	0.561	0.928	0.823	0.489	0.755	0.561	0.644	0.245
1.0	8.0_64.0	0.6	0.9	25	8	85	19	6	13	0.568	0.914	0.803	0.482	0.758	0.568	0.649	0.242
0.1_0.125	4.0_64.0	0.6	1.0	21	468	14668	45	25	20	0.318	0.969	0.966	0.287	0.043	0.318	0.076	0.957
0.1_0.125	8.0_64.0	0.6	1.0	16	314	9447	28	13	15	0.364	0.968	0.965	0.332	0.048	0.364	0.085	0.952
0.25	4.0_64.0	0.6	1.0	22	49	4510	44	19	25	0.333	0.989	0.98	0.322	0.31	0.333	0.321	0.69
0.25	8.0_64.0	0.6	1.0	15	19	2593	29	9	20	0.341	0.993	0.982	0.334	0.441	0.341	0.385	0.559
0.375	4.0_64.0	0.6	1.0	20	3	435	34	11	23	0.37	0.993	0.925	0.363	0.87	0.37	0.519	0.13
0.375	8.0_64.0	0.6	1.0	15	1	246	21	7	14	0.417	0.996	0.922	0.413	0.938	0.417	0.577	0.062
0.5	4.0_64.0	0.6	1.0	30	15	807	48	11	37	0.385	0.982	0.93	0.367	0.667	0.385	0.488	0.333
0.5	8.0_64.0	0.6	1.0	21	10	437	31	6	25	0.404	0.978	0.918	0.382	0.677	0.404	0.506	0.323
0.7_0.75	4.0_64.0	0.6	1.0	26	7	277	40	9	31	0.394	0.975	0.866	0.369	0.788	0.394	0.525	0.212
0.7_0.75	8.0_64.0	0.6	1.0	17	5	149	27	6	21	0.386	0.968	0.838	0.354	0.773	0.386	0.515	0.227
1.0	4.0_64.0	0.6	1.0	34	6	160	32	9	23	0.515	0.964	0.836	0.479	0.85	0.515	0.641	0.15
1.0	8.0_64.0	0.6	1.0	22	4	89	22	6	16	0.5	0.957	0.81	0.457	0.846	0.5	0.629	0.154
0.1_0.125	4.0_64.0	0.7	0.0	37	1032	14104	29	25	4	0.561	0.932	0.93	0.493	0.035	0.561	0.066	0.965
0.1_0.125	8.0_64.0	0.7	0.0	29	697	9064	15	13	2	0.659	0.929	0.927	0.588	0.04	0.659	0.075	0.96
0.25	4.0_64.0	0.7	0.0	35	138	4421	31	19	12	0.53	0.97	0.963	0.5	0.202	0.53	0.293	0.798
0.25	8.0_64.0	0.7	0.0	26	74	2538	18	9	9	0.591	0.972	0.965	0.563	0.26	0.591	0.361	0.74
0.375	4.0_64.0	0.7	0.0	37	9	429	17	11	6	0.685	0.979	0.947	0.664	0.804	0.685	0.74	0.196
0.375	8.0_64.0	0.7	0.0	26	3	244	10	7	3	0.722	0.988	0.954	0.71	0.897	0.722	0.8	0.103
0.5	4.0_64.0	0.7	0.0	59	33	789	19	11	8	0.756	0.96	0.942	0.716	0.641	0.756	0.694	0.359
0.5	8.0_64.0	0.7	0.0	42	20	427	10	6	4	0.808	0.955	0.94	0.763	0.677	0.808	0.737	0.323
0.7_0.75	4.0_64.0	0.7	0.0	50	21	263	16	9	7	0.758	0.926	0.894	0.684	0.704	0.758	0.73	0.296
0.7_0.75	8.0_64.0	0.7	0.0	34	14	140	10	6	4	0.773	0.909	0.879	0.682	0.708	0.773	0.739	0.292
1.0	4.0_64.0	0.7	0.0	52	22	144	14	9	5	0.788	0.867	0.845	0.655	0.703	0.788	0.743	0.297
1.0	8.0_64.0	0.7	0.0	35	15	78	9	6	3	0.795	0.839	0.825	0.634	0.7	0.795	0.744	0.3
0.1_0.125	4.0_64.0	0.7	0.1	37	974	14162	29	25	4	0.561	0.936	0.934	0.497	0.037	0.561	0.069	0.963
0.1_0.125	8.0_64.0	0.7	0.1	29	652	9109	15	13	2	0.659	0.933	0.932	0.592	0.043	0.659	0.081	0.957
0.25	4.0_64.0	0.7	0.1	35	121	4438	31	19	12	0.53	0.973	0.967	0.503	0.224	0.53	0.315	0.776
0.25	8.0_64.0	0.7	0.1	26	63	2549	18	9	9	0.591	0.976	0.97	0.567	0.292	0.591	0.391	0.708
0.375	4.0_64.0	0.7	0.1	37	8	430	17	11	6	0.685	0.982	0.949	0.667	0.822	0.685	0.747	0.178
0.375	8.0_64.0	0.7	0.1	26	2	245	10	7	3	0.722	0.992	0.958	0.714	0.929	0.722	0.813	0.071
0.5	4.0_64.0	0.7	0.1	58	33	789	20	11	9	0.744	0.96	0.941	0.704	0.637	0.744	0.686	0.363
0.5	8.0_64.0	0.7	0.1	41	20	427	11	6	5	0.788	0.955	0.938	0.743	0.672	0.788	0.725	0.328
0.7_0.75	4.0_64.0	0.7	0.1	50	20	264	16	9	7	0.758	0.93	0.897	0.688	0.714	0.758	0.735	0.286
0.7_0.75	8.0_64.0	0.7	0.1	34	13	141	10	6	4	0.773	0.916	0.884	0.689	0.723	0.773	0.747	0.277
1.0	4.0_64.0	0.7	0.1	52	22	144	14	9	5	0.788	0.867	0.845	0.655	0.703	0.788	0.743	0.297
1.0	8.0_64.0	0.7	0.1	35	15	78	9	6	3	0.795	0.839	0.825	0.634	0.7	0.795	0.744	0.3
0.1_0.125	4.0_64.0	0.7	0.2	36	939	14197	30	25	5	0.545	0.938	0.936	0.483	0.037	0.545	0.069	0.963
0.1_0.125	8.0_64.0	0.7	0.2	28	631	9130	16	13	3	0.636	0.935	0.934	0.571	0.042	0.636	0.079	0.958
0.25	4.0_64.0	0.7	0.2	35	115	4444	31	19	12	0.53	0.975	0.968	0.505	0.233	0.53	0.324	0.767
0.25	8.0_64.0	0.7	0.2	26	58	2554	18	9	9	0.591	0.978	0.971	0.569	0.31	0.591	0.407	0.69
0.375	4.0_64.0	0.7	0.2	37	5	433	17	11	6	0.685	0.989	0.955	0.674	0.881	0.685	0.771	0.119
0.375	8.0_64.0	0.7	0.2	26	2	245	10	7	3	0.722	0.992	0.958	0.714	0.929	0.722	0.813	0.071
0.5	4.0_64.0	0.7	0.2	58	33	789	20	11	9	0.744	0.96	0.941	0.704	0.637	0.744	0.686	0.363
0.5	8.0_64.0	0.7	0.2	41	20	427	11	6	5	0.788	0.955	0.938	0.743	0.672	0.788	0.725	0.328
0.7_0.75	4.0_64.0	0.7	0.2	50	20	264	16	9	7	0.758	0.93	0.897	0.688	0.714	0.758	0.735	0.286
0.7_0.75	8.0_64.0	0.7	0.2	34	13	141	10	6	4	0.773	0.916	0.884	0.689	0.723	0.773	0.747	0.277
1.0	4.0_64.0	0.7	0.2	51	22	144	15	9	6	0.773	0.867	0.841	0.64	0.699	0.773	0.734	0.301
1.0	8.0_64.0	0.7	0.2	35	15	78	9	6	3	0.795	0.839	0.825	0.634	0.7	0.795	0.744	0.3
0.1_0.125	4.0_64.0	0.7	0.3	35	901	14235	31	25	6	0.53	0.94	0.939	0.47	0.037	0.53	0.069	0.963
0.1_0.125	8.0_64.0	0.7	0.3	27	603	9158	17	13	4	0.614	0.938	0.937	0.552	0.043	0.614	0.08	0.957
0.25	4.0_64.0	0.7	0.3	35	106	4453	31	19	12	0.53	0.977	0.97	0.507	0.248	0.53	0.338	0.752
0.25	8.0_64.0	0.7	0.3	26	51	2561	18	9	9	0.591	0.98	0.974	0.571	0.338	0.591	0.43	0.662
0.375	4.0_64.0	0.7	0.3	36	4	434	18	11	7	0.667	0.991	0.955	0.658	0.9	0.667	0.766	0.1
0.375	8.0_64.0	0.7	0.3	26	2	245	10	7	3	0.722	0.992	0.958	0.714	0.929	0.722	0.813	0.071
0.5	4.0_64.0	0.7	0.3	57	33	789	21	11	10	0.731	0.96	0.94	0.691	0.633	0.731	0.678	0.367
0.5	8.0_64.0	0.7	0.3	41	20	427	11	6	5	0.788	0.955	0.938	0.743	0.672	0.788	0.725	0.328
0.7_0.75	4.0_64.0	0.7	0.3	49	19	265	17	9	8	0.742	0.933	0.897	0.675	0.721	0.742	0.731	0.279
0.7_0.75	8.0_64.0	0.7	0.3	33	12	142	11	6	5	0.75	0.922	0.884	0.672	0.733	0.75	0.741	0.267
1.0	4.0_64.0	0.7	0.3	51	21	145	15	9	6	0.773	0.873	0.845	0.646	0.708	0.773	0.739	0.292
1.0	8.0_64.0	0.7	0.3	35	14	79	9	6	3	0.795	0.849	0.832	0.644	0.714	0.795	0.752	0.286
0.1_0.125	4.0_64.0	0.7	0.4	33	852	14284	33	25	8	0.5	0.944	0.942	0.444	0.037	0.5	0.069	0.963
0.1_0.125	8.0_64.0	0.7	0.4	26	568	9193	18	13	5	0.591	0.942	0.94	0.533	0.044	0.591	0.082	0.956
0.25	4.0_64.0	0.7	0.4	33	103	4456	33	19	14	0.5	0.977	0.971	0.477	0.243	0.5	0.327	0.757
0.25	8.0_64.0	0.7	0.4	25	50	2562	19	9	10	0.568	0.981	0.974	0.549	0.333	0.568	0.42	0.667
0.375	4.0_64.0	0.7	0.4	34	3	435	20	11	9	0.63	0.993	0.953	0.623	0.919	0.63	0.748	0.081
0.375	8.0_64.0	0.7	0.4	25	1	246	11	7	4	0.694	0.996	0.958	0.69	0.962	0.694	0.806	0.038
0.5	4.0_64.0	0.7	0.4	57	32	790	21	11	10	0.731	0.961	0.941	0.692	0.64	0.731	0.682	0.36
0.5	8.0_64.0	0.7	0.4	41	20	427	11	6	5	0.788	0.955	0.938	0.743	0.672	0.788	0.725	0.328
0.7_0.75	4.0_64.0	0.7	0.4	49	16	268	17	9	8	0.742	0.944	0.906	0.686	0.754	0.742	0.748	0.246
0.7_0.75	8.0_64.0	0.7	0.4	33	10	144	11	6	5	0.75	0.935	0.894	0.685	0.767	0.75	0.758	0.233
1.0	4.0_64.0	0.7	0.4	47	20	146	19	9	10	0.712	0.88	0.832	0.592	0.701	0.712	0.706	0.299
1.0	8.0_64.0	0.7	0.4	32	13	80	12	6	6	0.727	0.86	0.818	0.587	0.711	0.727	0.719	0.289
0.1_0.125	4.0_64.0	0.7	0.5	33	819	14317	33	25	8	0.5	0.946	0.944	0.446	0.039	0.5	0.072	0.961
0.1_0.125	8.0_64.0	0.7	0.5	26	546	9215	18	13	5	0.591	0.944	0.942	0.535	0.045	0.591	0.084	0.955
0.25	4.0_64.0	0.7	0.5	33	97	4462	33	19	14	0.5	0.979	0.972	0.479	0.254	0.5	0.337	0.746
0.25	8.0_64.0	0.7	0.5	25	46	2566	19	9	10	0.568	0.982	0.976	0.55	0.352	0.568	0.435	0.648
0.375	4.0_64.0	0.7	0.5	34	3	435	20	11	9	0.63	0.993	0.953	0.623	0.919	0.63	0.748	0.081
0.375	8.0_64.0	0.7	0.5	25	1	246	11	7	4	0.694	0.996	0.958	0.69	0.962	0.694	0.806	0.038
0.5	4.0_64.0	0.7	0.5	55	28	794	23	11	12	0.705	0.966	0.943	0.671	0.663	0.705	0.683	0.337
0.5	8.0_64.0	0.7	0.5	39	18	429	13	6	7	0.75	0.96	0.938	0.71	0.684	0.75	0.715	0.316
0.7_0.75	4.0_64.0	0.7	0.5	47	16	268	19	9	10	0.712	0.944	0.9	0.656	0.746	0.712	0.729	0.254
0.7_0.75	8.0_64.0	0.7	0.5	33	10	144	11	6	5	0.75	0.935	0.894	0.685	0.767	0.75	0.758	0.233
1.0	4.0_64.0	0.7	0.5	47	18	148	19	9	10	0.712	0.892	0.841	0.604	0.723	0.712	0.717	0.277
1.0	8.0_64.0	0.7	0.5	32	11	82	12	6	6	0.727	0.882	0.832	0.609	0.744	0.727	0.735	0.256
0.1_0.125	4.0_64.0	0.7	0.6	30	777	14359	36	25	11	0.455	0.949	0.947	0.404	0.037	0.455	0.068	0.963
0.1_0.125	8.0_64.0	0.7	0.6	25	520	9241	19	13	6	0.568	0.947	0.945	0.515	0.046	0.568	0.085	0.954
